start_date,mid_date,end_date,firm_coarse,firm_index,tpp_alp,tpp_lnc,tpp_alp_se,tpp_lnc_se,day_index
2007-05-19,2007-05-20,2007-05-20,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,1044
2007-05-21,2007-05-23,2007-05-24,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1047
2007-05-25,2007-05-26,2007-05-27,Newspoll,7,0.6,0.4,0.012644896377474535,0.012644896377474535,1050
2007-05-26,2007-05-27,2007-05-27,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,1051
2007-06-02,2007-06-03,2007-06-03,Morgan,6,0.58,0.42,0.014611534228661186,0.014611534228661186,1058
2007-06-09,2007-06-13,2007-06-17,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,1068
2007-06-15,2007-06-16,2007-06-17,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1071
2007-06-23,2007-06-27,2007-07-01,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,1082
2007-07-06,2007-07-07,2007-07-08,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1092
2007-07-07,2007-07-11,2007-07-15,Morgan,6,0.55,0.45,0.0147280340457794,0.014728034045779402,1096
2007-07-20,2007-07-21,2007-07-22,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1106
2007-07-21,2007-07-25,2007-07-29,Morgan,6,0.55,0.45,0.0147280340457794,0.014728034045779402,1110
2007-08-03,2007-08-04,2007-08-05,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1120
2007-08-04,2007-08-08,2007-08-12,Morgan,6,0.585,0.415,0.01458677080642452,0.014586770806424518,1124
2007-08-17,2007-08-18,2007-08-19,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1134
2007-08-18,2007-08-22,2007-08-26,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,1138
2007-08-31,2007-09-01,2007-09-02,Newspoll,7,0.59,0.41,0.01269485041983082,0.012694850419830822,1148
2007-09-01,2007-09-02,2007-09-02,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,1149
2007-09-08,2007-09-09,2007-09-09,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,1156
2007-09-14,2007-09-15,2007-09-16,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1162
2007-09-15,2007-09-16,2007-09-16,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,1163
2007-09-22,2007-09-23,2007-09-23,Morgan,6,0.605,0.395,0.014472161920037712,0.014472161920037712,1170
2007-09-28,2007-09-29,2007-09-30,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1176
2007-09-29,2007-09-30,2007-09-30,Morgan,6,0.61,0.39,0.014439574600253429,0.014439574600253429,1177
